stratum,mark,theme,mean_NES,sm
HIP.Astro,H3K27ac,Immune_inflammatory,-0.103757462458915,HIP.Astro H3K27ac
HIP.Astro,H3K27ac,Synaptic_neuronal,-1.81628453831028,HIP.Astro H3K27ac
HIP.Astro,H3K27ac,Proteostasis_stress,1.90675023604055,HIP.Astro H3K27ac
HIP.Astro,H3K27ac,Development_differentiation,-1.82741130055543,HIP.Astro H3K27ac
HIP.ExN,H3K27ac,Metabolic,-1.56204690660286,HIP.ExN H3K27ac
HIP.ExN,H3K27ac,Development_differentiation,-1.8525918273316,HIP.ExN H3K27ac
HIP.ExN,H3K27ac,Immune_inflammatory,-1.82503316238612,HIP.ExN H3K27ac
CBL.GranuleN,H3K27ac,Development_differentiation,2.21199765828515,CBL.GranuleN H3K27ac
CBL.GranuleN,H3K27ac,Immune_inflammatory,2.31006380969974,CBL.GranuleN H3K27ac
CBL.GranuleN,H3K27ac,Synaptic_neuronal,-1.63185719527214,CBL.GranuleN H3K27ac
CBL.GranuleN,H3K27ac,Metabolic,-1.75685139256863,CBL.GranuleN H3K27ac
HIP.InN,H3K27ac,Development_differentiation,-1.17560603571751,HIP.InN H3K27ac
HIP.InN,H3K27ac,Proteostasis_stress,1.5053930075255,HIP.InN H3K27ac
HIP.InN,H3K27ac,Immune_inflammatory,-1.66544749074378,HIP.InN H3K27ac
HIP.InN,H3K27ac,Synaptic_neuronal,1.9945388114364,HIP.InN H3K27ac
CBL.Micro,H3K27ac,Immune_inflammatory,-1.8438603145261,CBL.Micro H3K27ac
CBL.Micro,H3K27ac,Synaptic_neuronal,1.83390049920449,CBL.Micro H3K27ac
CBL.Micro,H3K27ac,Development_differentiation,-1.50565072618387,CBL.Micro H3K27ac
CBL.Micro,H3K27ac,Metabolic,-1.71505497552414,CBL.Micro H3K27ac
HIP.Oligo,H3K27ac,Immune_inflammatory,-1.83037850335493,HIP.Oligo H3K27ac
HIP.Oligo,H3K27ac,Synaptic_neuronal,1.82121304580224,HIP.Oligo H3K27ac
HIP.Oligo,H3K27ac,Proteostasis_stress,1.78621929528128,HIP.Oligo H3K27ac
HIP.Oligo,H3K27ac,Metabolic,-1.3628837850418,HIP.Oligo H3K27ac
HIP.Oligo,H3K27ac,Development_differentiation,1.69138400825134,HIP.Oligo H3K27ac
CBL.Astro,H3K27me3,Immune_inflammatory,1.86055492328378,CBL.Astro H3K27me3
CBL.GranuleN,H3K27me3,Development_differentiation,2.31580521378028,CBL.GranuleN H3K27me3
CBL.GranuleN,H3K27me3,Immune_inflammatory,2.27072029167537,CBL.GranuleN H3K27me3
CBL.GranuleN,H3K27me3,Proteostasis_stress,-1.34892751632129,CBL.GranuleN H3K27me3
CBL.GranuleN,H3K27me3,Metabolic,2.07921339080039,CBL.GranuleN H3K27me3
HIP.Micro,H3K27me3,Immune_inflammatory,-1.66948857454046,HIP.Micro H3K27me3
CBL.ExN,H3K27me3,Development_differentiation,-2.18035246116571,CBL.ExN H3K27me3
